# Scholarly publications on artificial intelligence
# total: annual count of AI publications; per_million: same, per million population
# Original source: Stanford AI Index Report, via Our World in Data
# Compiled by Muhammad Ikram, https://drmuhammadikram.com/data/ai-research/
# Free to use. Please cite the original source and this compilation.
iso_numeric,country,year,total,per_million
364,Iran,2022,2771.0,30.953
364,Iran,2023,3043.0,33.584
364,Iran,2024,2968.0,32.413
368,Iraq,2016,280.0,7.278
368,Iraq,2017,383.0,9.736
368,Iraq,2018,492.0,12.219
368,Iraq,2019,758.0,18.402
368,Iraq,2020,1076.0,25.548
368,Iraq,2021,1452.0,33.712
368,Iraq,2022,1942.0,44.066
368,Iraq,2023,2443.0,54.2
368,Iraq,2024,2787.0,60.532
372,Ireland,2016,486.0,102.24
372,Ireland,2017,471.0,97.916
372,Ireland,2018,640.0,131.348
372,Ireland,2019,814.0,164.995
372,Ireland,2020,989.0,198.491
372,Ireland,2021,1112.0,221.143
372,Ireland,2022,1108.0,216.829
372,Ireland,2023,1466.0,282.106
372,Ireland,2024,1430.0,272.121
376,Israel,2016,845.0,102.923
376,Israel,2017,926.0,110.742
376,Israel,2018,1086.0,127.614
376,Israel,2019,1321.0,152.585
376,Israel,2020,1608.0,182.719
376,Israel,2021,1829.0,204.519
376,Israel,2022,1471.0,161.593
376,Israel,2023,1630.0,176.096
376,Israel,2024,1461.0,155.641
380,Italy,2016,4016.0,66.404
380,Italy,2017,4236.0,70.144
380,Italy,2018,4784.0,79.366
380,Italy,2019,5488.0,91.269
380,Italy,2020,6609.0,110.31
380,Italy,2021,7605.0,127.324
380,Italy,2022,7675.0,128.734
380,Italy,2023,9143.0,153.665
380,Italy,2024,9123.0,153.734
384,Cote d'Ivoire,2016,7.0,0.269
384,Cote d'Ivoire,2017,8.0,0.299
384,Cote d'Ivoire,2018,9.0,0.328
384,Cote d'Ivoire,2019,7.0,0.248
384,Cote d'Ivoire,2020,17.0,0.588
384,Cote d'Ivoire,2021,16.0,0.54
384,Cote d'Ivoire,2022,21.0,0.691
384,Cote d'Ivoire,2023,28.0,0.898
384,Cote d'Ivoire,2024,22.0,0.689
388,Jamaica,2016,9.0,3.203
388,Jamaica,2017,7.0,2.486
388,Jamaica,2018,6.0,2.128
388,Jamaica,2019,3.0,1.063
388,Jamaica,2020,4.0,1.413
388,Jamaica,2021,3.0,1.057
388,Jamaica,2022,9.0,3.17
388,Jamaica,2023,8.0,2.817
388,Jamaica,2024,7.0,2.465
392,Japan,2016,6736.0,52.973
392,Japan,2017,7166.0,56.396
392,Japan,2018,8237.0,64.903
392,Japan,2019,9319.0,73.552
392,Japan,2020,9732.0,77.052
392,Japan,2021,10248.0,81.541
392,Japan,2022,9885.0,79.082
392,Japan,2023,11001.0,88.453
392,Japan,2024,10873.0,87.86
398,Kazakhstan,2016,90.0,4.901
398,Kazakhstan,2017,111.0,5.951
398,Kazakhstan,2018,140.0,7.395
398,Kazakhstan,2019,201.0,10.464
398,Kazakhstan,2020,251.0,12.884
398,Kazakhstan,2021,342.0,17.322
398,Kazakhstan,2022,310.0,15.473
398,Kazakhstan,2023,493.0,24.25
398,Kazakhstan,2024,632.0,30.691
400,Jordan,2016,203.0,20.287
400,Jordan,2017,209.0,20.422
400,Jordan,2018,285.0,27.241
400,Jordan,2019,378.0,35.42
400,Jordan,2020,430.0,39.576
400,Jordan,2021,581.0,52.501
400,Jordan,2022,715.0,63.52
400,Jordan,2023,1045.0,91.352
400,Jordan,2024,1175.0,101.706
404,Kenya,2016,35.0,0.727
404,Kenya,2017,30.0,0.61
404,Kenya,2018,42.0,0.837
404,Kenya,2019,82.0,1.601
404,Kenya,2020,101.0,1.934
404,Kenya,2021,122.0,2.292
404,Kenya,2022,163.0,3.004
404,Kenya,2023,219.0,3.957
404,Kenya,2024,232.0,4.111
408,North Korea,2016,3.0,0.117
408,North Korea,2017,3.0,0.116
408,North Korea,2018,9.0,0.347
408,North Korea,2019,7.0,0.269
408,North Korea,2020,5.0,0.191
408,North Korea,2021,8.0,0.305
408,North Korea,2022,16.0,0.608
408,North Korea,2023,14.0,0.53
408,North Korea,2024,8.0,0.302
410,South Korea,2016,3110.0,60.626
410,South Korea,2017,3435.0,66.717
410,South Korea,2018,4305.0,83.364
410,South Korea,2019,5264.0,101.685
410,South Korea,2020,6842.0,131.936
410,South Korea,2021,8354.0,161.124
410,South Korea,2022,8830.0,170.521
410,South Korea,2023,10315.0,199.328
410,South Korea,2024,10265.0,198.482
414,Kuwait,2016,47.0,11.738
414,Kuwait,2017,48.0,11.553
414,Kuwait,2018,64.0,14.803
414,Kuwait,2019,67.0,15.083
414,Kuwait,2020,125.0,28.408
414,Kuwait,2021,128.0,29.353
414,Kuwait,2022,189.0,41.181
414,Kuwait,2023,257.0,53.113
414,Kuwait,2024,345.0,69.916
417,Kyrgyzstan,2016,1.0,0.164
417,Kyrgyzstan,2017,1.0,0.161
417,Kyrgyzstan,2018,2.0,0.315
417,Kyrgyzstan,2019,13.0,2.002
417,Kyrgyzstan,2020,14.0,2.101
417,Kyrgyzstan,2021,25.0,3.665
417,Kyrgyzstan,2022,29.0,4.169
417,Kyrgyzstan,2023,21.0,2.969
417,Kyrgyzstan,2024,32.0,4.453
418,Laos,2016,2.0,0.289
